Query_ID	Doc_ID	Rank
1	51	1
1	486	2
1	184	3
1	13	4
1	792	5
1	746	6
1	12	7
1	435	8
1	875	9
1	359	10
1	747	11
1	878	12
1	1268	13
1	1340	14
1	141	15
1	665	16
1	573	17
1	879	18
1	1144	19
1	56	20
1	78	21
1	252	22
1	1328	23
1	315	24
1	1147	25
1	29	26
1	663	27
1	1263	28
1	876	29
1	1361	30
1	202	31
1	606	32
1	584	33
1	14	34
1	329	35
1	944	36
1	1246	37
1	253	38
1	685	39
1	1300	40
1	1128	41
1	1163	42
1	101	43
1	251	44
1	874	45
1	160	46
1	781	47
1	914	48
1	300	49
1	1380	50
1	280	51
1	638	52
1	576	53
1	1143	54
1	1169	55
1	817	56
1	800	57
1	378	58
1	193	59
1	1155	60
1	62	61
1	799	62
1	168	63
1	104	64
1	1003	65
1	540	66
1	1072	67
1	92	68
1	707	69
1	316	70
1	1250	71
1	453	72
1	311	73
1	172	74
1	880	75
1	565	76
1	219	77
1	1168	78
1	571	79
1	204	80
1	1389	81
1	1149	82
1	1315	83
1	1111	84
1	209	85
1	309	86
1	429	87
1	497	88
1	635	89
1	495	90
1	552	91
1	102	92
1	1050	93
1	100	94
1	563	95
1	700	96
1	1089	97
1	1063	98
1	283	99
1	95	100
1	1201	101
1	36	102
1	244	103
1	292	104
1	542	105
1	1303	106
1	526	107
1	1335	108
1	42	109
1	52	110
1	1167	111
1	519	112
1	717	113
1	240	114
1	332	115
1	572	116
1	1012	117
1	391	118
1	349	119
1	430	120
1	911	121
1	883	122
1	203	123
1	1362	124
1	945	125
1	729	126
1	1064	127
1	374	128
1	25	129
1	976	130
1	438	131
1	436	132
1	82	133
1	302	134
1	725	135
1	53	136
1	925	137
1	195	138
1	982	139
1	585	140
1	47	141
1	588	142
1	1212	143
1	630	144
1	327	145
1	1219	146
1	686	147
1	236	148
1	564	149
1	666	150
1	1186	151
1	142	152
1	24	153
1	1197	154
1	1165	155
1	431	156
1	740	157
1	1124	158
1	1305	159
1	262	160
1	522	161
1	28	162
1	670	163
1	293	164
1	493	165
1	394	166
1	909	167
1	566	168
1	1213	169
1	1166	170
1	1164	171
1	962	172
1	197	173
1	285	174
1	373	175
1	1034	176
1	640	177
1	305	178
1	1194	179
1	395	180
1	719	181
1	147	182
1	593	183
1	1191	184
1	328	185
1	303	186
1	1098	187
1	1338	188
1	456	189
1	414	190
1	917	191
1	811	192
1	294	193
1	755	194
1	655	195
1	174	196
1	711	197
1	358	198
1	1392	199
1	625	200
2	12	1
2	746	2
2	792	3
2	51	4
2	810	5
2	700	6
2	141	7
2	1380	8
2	92	9
2	184	10
2	1169	11
2	712	12
2	606	13
2	100	14
2	909	15
2	781	16
2	47	17
2	1089	18
2	725	19
2	1379	20
2	497	21
2	395	22
2	883	23
2	78	24
2	253	25
2	747	26
2	875	27
2	1012	28
2	724	29
2	1361	30
2	202	31
2	70	32
2	1170	33
2	1246	34
2	911	35
2	1147	36
2	14	37
2	1263	38
2	884	39
2	876	40
2	195	41
2	1331	42
2	1095	43
2	726	44
2	251	45
2	1197	46
2	316	47
2	1163	48
2	172	49
2	75	50
2	833	51
2	429	52
2	1063	53
2	52	54
2	574	55
2	101	56
2	862	57
2	638	58
2	640	59
2	804	60
2	1303	61
2	805	62
2	658	63
2	435	64
2	321	65
2	209	66
2	486	67
2	834	68
2	76	69
2	1144	70
2	1300	71
2	1217	72
2	1111	73
2	685	74
2	836	75
2	715	76
2	837	77
2	264	78
2	731	79
2	1392	80
2	391	81
2	315	82
2	1328	83
2	36	84
2	441	85
2	835	86
2	979	87
2	284	88
2	203	89
2	1011	90
2	416	91
2	914	92
2	29	93
2	280	94
2	1309	95
2	1008	96
2	193	97
2	1165	98
2	1167	99
2	663	100
2	729	101
2	798	102
2	860	103
2	430	104
2	288	105
2	799	106
2	1003	107
2	654	108
2	1268	109
2	1250	110
2	142	111
2	756	112
2	1124	113
2	1007	114
2	373	115
2	1158	116
2	364	117
2	204	118
2	374	119
2	1155	120
2	945	121
2	1168	122
2	431	123
2	1002	124
2	1320	125
2	83	126
2	650	127
2	588	128
2	925	129
2	309	130
2	552	131
2	345	132
2	275	133
2	997	134
2	1042	135
2	453	136
2	878	137
2	1224	138
2	723	139
2	302	140
2	244	141
2	1327	142
2	762	143
2	695	144
2	1006	145
2	187	146
2	870	147
2	378	148
2	908	149
2	720	150
2	28	151
2	1005	152
2	1166	153
2	812	154
2	1010	155
2	1004	156
2	968	157
2	1377	158
2	1009	159
2	1072	160
2	981	161
2	625	162
2	293	163
2	593	164
2	641	165
2	285	166
2	82	167
2	311	168
2	1000	169
2	893	170
2	320	171
2	1130	172
2	874	173
2	1195	174
2	896	175
2	58	176
2	322	177
2	220	178
2	266	179
2	198	180
2	882	181
2	215	182
2	406	183
2	93	184
2	1051	185
2	1041	186
2	329	187
2	828	188
2	59	189
2	1212	190
2	171	191
2	436	192
2	540	193
2	579	194
2	1065	195
2	42	196
2	225	197
2	262	198
2	239	199
2	545	200
3	399	1
3	144	2
3	485	3
3	91	4
3	5	5
3	90	6
3	181	7
3	542	8
3	6	9
3	1072	10
3	582	11
3	584	12
3	579	13
3	623	14
3	585	15
3	828	16
3	66	17
3	344	18
3	586	19
3	980	20
3	518	21
3	740	22
3	944	23
3	119	24
3	981	25
3	1088	26
3	1198	27
3	112	28
3	168	29
3	395	30
3	803	31
3	269	32
3	425	33
3	752	34
3	251	35
3	826	36
3	270	37
3	266	38
3	746	39
3	666	40
3	1073	41
3	329	42
3	142	43
3	1183	44
3	656	45
3	1268	46
3	407	47
3	792	48
3	349	49
3	802	50
3	982	51
3	1204	52
3	712	53
3	1213	54
3	700	55
3	500	56
3	240	57
3	1217	58
3	61	59
3	962	60
3	707	61
3	387	62
3	13	63
3	350	64
3	861	65
3	262	66
3	93	67
3	459	68
3	561	69
3	1302	70
3	833	71
3	785	72
3	267	73
3	1181	74
3	1224	75
3	42	76
3	24	77
3	811	78
3	1068	79
3	99	80
3	625	81
3	81	82
3	72	83
3	1370	84
3	354	85
3	414	86
3	51	87
3	635	88
3	159	89
3	1221	90
3	378	91
3	28	92
3	689	93
3	408	94
3	1185	95
3	298	96
3	145	97
3	1263	98
3	1392	99
3	547	100
3	1253	101
3	1035	102
3	1279	103
3	606	104
3	1159	105
3	893	106
3	1389	107
3	476	108
3	398	109
3	36	110
3	1222	111
3	154	112
3	1295	113
3	709	114
3	554	115
3	1011	116
3	1379	117
3	571	118
3	900	119
3	281	120
3	1380	121
3	552	122
3	943	123
3	328	124
3	339	125
3	1097	126
3	732	127
3	1225	128
3	21	129
3	733	130
3	498	131
3	1207	132
3	77	133
