Real Near Duplicates,Jaccard Similarity
"('when+i+fall+in+love_20116178.html', 'when+i+fall+in+love_20098157.html')",1.0
"('im+not+in+love_20260448.html', 'im+not+in+love+rework+of+art_20929893.html')",0.8518518518518519
"('when+i+fall+in+love_20116178.html', 'when+i+fall+in+love_20098122.html')",1.0
"('godsmack+awake_20648861.html', 'awake_20061061.html')",1.0
"('im+not+in+love_20260448.html', 'im+not+in+love_10200363.html')",0.8518518518518519
"('when+i+fall+in+love_20116178.html', 'when+i+fall+in+love_10186790.html')",0.8533333333333334
"('dance+ballerina+dance_20183913.html', 'ballerina_20098016.html')",0.9512195121951219
"('ill+wear+it+proudly_20047378.html', 'ill+wear+it+proudly+live_20239026.html')",0.8816326530612245
"('fun+in+acapulco_20049219.html', 'follow+that+dream_20048852.html')",1.0
"('imagine_20254326.html', 'imagine_20040404.html')",0.9117647058823529
"('do+you+hear+what+i+hear_20767836.html', 'do+you+hear+what+i+hear_20192183.html')",1.0
"('alone_20615471.html', 'alone_20064694.html')",0.8721804511278195
"('natural+born+killaz_20285894.html', 'dre+ice+cube+natural+born+killaz_20648933.html')",0.9912280701754386
"('dont+save+it+all+for+christmas+day_20689342.html', 'dont+save+it+all+for+christmas+day_20186156.html')",0.96
"('its+beginning+to+look+like+christmas_20802363.html', 'its+beginning+to+look+a+lot+like+christmas_20766930.html')",0.9038461538461539
"('nothin_20658165.html', 'nothin_20139873.html')",0.9513888888888888
"('the+most+wonderful+time+of+the+year_20600374.html', 'its+the+most+wonderful+time+of+the+year_20766934.html')",0.8877551020408163
"('im+not+in+love_20260448.html', 'im+not+in+love_20139603.html')",0.8582089552238806
"('luned_20240625.html', 'guarda+dove+vai_20687065.html')",1.0
"('this+guys+in+love+with+you_20579159.html', 'this+guys+in+love+with+you_20102450.html')",0.865546218487395
"('creepin_20176467.html', 'creepin_20131781.html')",0.9204545454545454
"('do+you+hear+what+i+hear_20767836.html', 'do+you+hear+what+i+hear_20756600.html')",1.0
"('do+you+hear+what+i+hear_20767836.html', 'do+you+hear+what+i+hear_20755448.html')",0.9811320754716981
"('sisters+of+mercy_20132446.html', 'sisters+of+mercy_20082887.html')",0.970873786407767
"('little+green+apples_20859903.html', 'little+green+apples_20823239.html')",1.0
"('god+is+able_21058870.html', 'god+is+able_20982781.html')",0.9787234042553191
"('hystory_21078903.html', 'history_21009609.html')",1.0
"('and+i+love+you_20139042.html', 'and+i+love+you+lyrics_20704615.html')",1.0
"('paper+sun_20294777.html', 'paper+sun_20131234.html')",0.8994974874371859
"('never+tear+us+apart_20067832.html', 'never+tear+us+apart+feat+tom+jones_20287330.html')",0.8690476190476191
"('t+n+t_20003280.html', 'acdc+tnt_20649010.html')",0.9327731092436975
"('arent+you+glad+youre+you_20309057.html', 'arent+you+glad+youre+you_20309056.html')",1.0
"('didnt+mean+to+turn+you+on_20180792.html', 'didnt+mean+to+turn+you+on_20088439.html')",0.8976377952755905
"('coming+back+to+you_20170852.html', 'coming+back+to+you_20082896.html')",0.9719626168224299
"('no+face+no+name+no+number_20273536.html', 'no+face+no+name+no+number_20131409.html')",1.0
"('i+have+nothing_21016401.html', 'i+have+nothing_20146352.html')",0.8624338624338624
"('pure+love_20668330.html', 'pure+love+puro+amore+by+zucchero+and+dolores+oriordan_20513222.html')",0.9230769230769231
"('for+the+good+times_20106588.html', 'for+the+good+times_20080500.html')",0.8571428571428571
"('miss+you+most_10174225.html', 'miss+you+most+at+christmas_20683242.html')",0.9862068965517241
"('easy+to+love_20045720.html', 'easy+to+love_20017881.html')",1.0
"('never+ask+twice+aka+airplane_20086786.html', 'it+must+be+love_20086814.html')",0.9805825242718447
"('for+your+pleasure_20201432.html', 'for+your+pleasure_20118888.html')",1.0
"('if+i+dont+love+you+this+way_20817041.html', 'if+i+dont+love+you+this+way_20193595.html')",1.0
"('deed+i+do_20813472.html', 'deed+i+do_20618784.html')",1.0
"('hello_20083833.html', 'hello+bbc+radio+1+version_20214363.html')",0.8963414634146342
"('fireworks_10003929.html', '40+hour+week_20522159.html')",0.9901960784313726
"('all+the+young+dudes_20804852.html', 'all+the+young+dudes_20036965.html')",0.8987341772151899
"('in+the+secret+i+want+to+know+you_20773578.html', 'i+want+to+know+you+more_20655677.html')",0.8857142857142857
"('ruby+dont+take+your+love+to+town_20496114.html', 'ruby+dont+take+your+love+to+town_20302044.html')",0.9298245614035088
"('sing+of+the+hammer_20565798.html', 'sign+of+the+hammer_20087820.html')",0.8823529411764706
"('oh+holy+night_20756555.html', 'oh+holy+night_20756227.html')",1.0
"('slide+it+in_20233615.html', 'shake+my+tree_20146221.html')",0.9142857142857143
"('drops+of+jupiter_20991943.html', 'drops+of+jupiter_20140408.html')",0.9204545454545454
"('cherry+pie_10185727.html', 'cherry+pie_10148252.html')",1.0
"('nikita_20695541.html', 'nikita_20046472.html')",0.9473684210526315
"('never+gonna+give+you+up_20116173.html', 'never+gonna+give+you+up_20001567.html')",0.8544303797468354
"('turn+it+on_20083087.html', 'running+in+the+family_20083115.html')",0.9747292418772563
"('oh+holy+night_20756555.html', 'oh+holy+night_20756155.html')",1.0
"('drown+in+my+own+tears_20189590.html', 'drown+in+my+own+tears_20189588.html')",1.0
"('a+song+for+you_20274357.html', 'a+song+for+you_20274349.html')",1.0
"('ebb+tide_20464287.html', 'ebb+tide_20055724.html')",0.9368421052631579
"('lay+me+down_21053085.html', 'lay+me+down_21048480.html')",0.9907407407407407
"('a+whole+new+world_20470665.html', 'a+whole+new+world_10219953.html')",0.8939393939393939
"('glory_20205751.html', 'glory_10141972.html')",0.922077922077922
"('if+ever_20468309.html', 'if+ever_20073447.html')",0.881578947368421
"('finale_20641112.html', 'company+finale_20128265.html')",1.0
"('help_10026477.html', 'help+covers_20666631.html')",0.9481481481481482
"('the+christmas+song_20756816.html', 'christmas+song_20055938.html')",1.0
"('last+night_20245535.html', 'last+night_20059187.html')",0.8831168831168831
"('amazing+grace_20268854.html', 'amazing+grace_20032073.html')",0.9025974025974026
"('i+cant+stand+it_20143911.html', 'i+cant+stand+it_20085167.html')",1.0
"('shout+to+the+lord_20694968.html', 'shout+to+the+lord_20608991.html')",0.8596491228070176
"('my+girl_20087283.html', 'my+girl_20005076.html')",1.0
"('amazing+grace_20268854.html', 'amazing+grace_20048418.html')",0.9337748344370861
"('beauty+the+beast_20163462.html', 'beauty+of+the+beast_20482930.html')",0.9716981132075472
"('yesterday+when+i+was+young_21028002.html', 'dont+change+on+me_20183981.html')",0.9753086419753086
"('april+comes+she+will_20559757.html', 'april+come+she+will+colin+linden_10220499.html')",0.9393939393939394
"('shout+to+the+lord_20694968.html', 'shout+to+the+lord_20221251.html')",1.0
"('gumbo_20604837.html', 'gumbo_20108394.html')",1.0
"('might+just+take+your+life_20146239.html', 'might+just+take+your+life_20038740.html')",0.9712643678160919
"('someone+to+watch+over+me_20753988.html', 'someone+to+watch+over+me_20700701.html')",0.9615384615384616
"('wont+get+fooled+again_20146855.html', 'wont+get+fooled+again_20142818.html')",0.9490740740740741
"('amazing+grace_20268854.html', 'amazing+grace_20143703.html')",0.9337748344370861
"('look+for+the+silver+lining_20235916.html', 'look+for+the+silver+lining+from+till+the+clouds+roll+by_20960766.html')",1.0
"('everytime+we+say+goodbye_20482834.html', 'every+time+we+say+goodbye_20516704.html')",0.8658536585365854
"('everytime+we+say+goodbye_20482834.html', 'every+time+we+say+goodbye_20633034.html')",1.0
"('in+freedom_20819004.html', 'in+freedom_20626596.html')",0.8961038961038961
"('king+of+the+world_20130095.html', 'king+of+the+world_20072779.html')",0.9385474860335196
"('everybody+wants+to+rule+the+world_20665338.html', 'everybody+wants+to+rule+the+world_20135573.html')",0.9197080291970803
"('the+little+drummer+boy_20064493.html', 'little+drummer+boy_20665727.html')",0.8938053097345132
"('lift_20807092.html', 'lift_20626576.html')",1.0
"('the+little+drummer+boy_20064493.html', 'little+drummer+boy_20246515.html')",0.9099099099099099
