Min_Hash_Sketch_INTEGER_Id,Estimated_original_set_size
0,577520798
1,573026473
2,521341732
3,514600245
4,588756612
5,555049172
6,584262286
7,537071871
8,521341732
9,559543497
10,399994950
11,325838583
12,379770486
13,366287510
14,370781835
15,384264811
16,382017649
17,361793185
18,395500624
19,348310209
20,274153842
21,330332908
22,247187890
23,276401004
24,240446402
25,274153842
26,256176541
27,274153842
28,247187890
29,316849932
30,231457752
31,211233288
32,211233288
33,226963426
34,208986125
35,262918029
36,238199240
37,211233288
38,213480450
39,204491800
40,114605294
41,130335433
42,94380830
43,83145017
44,105616644
45,105616644
46,125841107
47,89886505
48,141571246
49,107863806
